French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
aide,help
demande,request
genre,kind
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
devrait,should
vont,will
place,square
étaient,were
voici,here is
donner,give
leurs,their
donné,given
endroit,place
yeux,eyes
façon,way
trouve,find
premier,first
première,first
pouvoir,power
sois,be
tiens,here
tellement,so much
enfant,child
point,point
suite,after
pardon,sorry
venez,come
demandé,request
chambre,bedroom
belle,beautiful
droit,law
eau,water
nouvelle,new
boulot,job
compte,account
loin,far
gros,large
aura,will have
filles,girls
bureau,office
